,RD0175,RD0176,RD0177,RD0178,RD0179,RD0180,RD0184,RD0185,RD0186
ENSMUST00000020413,2,0,0,0,0,0,0,0,0
ENSMUST00000185381,0,0,0,0,0,0,0,0,0
ENSMUST00000095948,2,0,0,0,0,0,0,0,0
ENSMUST00000106027,24,17,45,8,31,9,5,35,3
ENSMUST00000065486,0,0,0,0,0,0,0,0,0
ENSMUST00000056946,3,8,2,3,7,1,5,6,1
ENSMUST00000214281,0,0,0,0,0,0,0,0,0
ENSMUST00000006476,0,0,0,0,0,0,0,0,0
ENSMUST00000172854,0,0,0,0,0,0,0,0,0
ENSMUST00000090150,0,0,0,0,0,0,0,0,0
ENSMUST00000107153,0,0,0,0,0,0,0,0,0
ENSMUST00000027491,0,0,0,0,0,0,0,0,0
ENSMUST00000030320,2,15,9,10,11,2,0,9,1
ENSMUST00000046521,0,1,0,0,0,1,1,0,0
ENSMUST00000004494,11,15,19,11,20,9,9,6,2
ENSMUST00000222237,0,0,0,0,0,0,0,0,0
ENSMUST00000213246,0,0,0,0,0,0,0,0,0
ENSMUST00000073890,0,0,0,0,0,0,0,0,0
ENSMUST00000102545,0,0,0,0,4,0,0,0,0
ENSMUST00000211851,0,0,0,0,0,0,0,0,0
ENSMUST00000092473,0,0,0,0,0,0,0,0,0
ENSMUST00000034723,0,0,0,0,0,0,0,0,0
ENSMUST00000038091,36,43,67,21,19,17,46,93,36
ENSMUST00000027623,0,0,0,0,0,0,0,0,0
ENSMUST00000108743,0,0,0,0,0,0,0,0,0
ENSMUST00000023259,0,0,2,0,0,1,0,0,0
ENSMUST00000200469,0,0,0,0,0,0,0,0,0
ENSMUST00000001002,0,0,0,0,0,0,0,0,0
ENSMUST00000035115,0,0,0,0,0,0,0,0,0
ENSMUST00000238002,0,0,0,0,0,0,0,0,0
ENSMUST00000179488,0,0,0,0,0,0,0,0,0
ENSMUST00000181586,0,0,0,0,0,0,0,0,0
ENSMUST00000169486,0,0,0,0,0,0,0,0,0
ENSMUST00000106098,0,0,0,0,0,0,0,0,0
ENSMUST00000000619,0,0,0,0,0,0,0,0,0
ENSMUST00000021888,0,0,0,0,0,0,0,0,0
ENSMUST00000048248,0,0,0,0,0,0,0,0,0
ENSMUST00000051754,0,0,0,0,0,0,0,0,0
ENSMUST00000227805,0,0,0,0,0,0,0,0,0
ENSMUST00000027185,0,0,0,0,0,0,0,0,0
ENSMUST00000093811,0,0,0,0,0,0,0,0,0
ENSMUST00000107974,0,0,0,1,0,0,2,0,0
ENSMUST00000179554,2,0,2,1,2,2,0,0,0
ENSMUST00000058595,0,0,0,0,0,0,0,0,0
ENSMUST00000022650,0,4,12,0,0,0,0,1,1
ENSMUST00000230544,0,0,0,0,0,0,0,0,0
ENSMUST00000133931,0,0,0,0,0,0,0,0,0
ENSMUST00000174558,0,0,0,0,0,0,0,0,0
ENSMUST00000071944,0,0,0,0,0,0,0,0,0
ENSMUST00000224625,0,0,0,0,0,0,0,0,0
ENSMUST00000165431,0,0,0,0,0,0,0,0,0
ENSMUST00000030192,22,6,0,0,2,0,0,0,0
ENSMUST00000052072,1,1,1,0,0,0,0,0,0
ENSMUST00000040404,0,0,1,1,0,0,0,0,0
ENSMUST00000019722,1,0,3,0,4,4,17,0,0
ENSMUST00000140300,0,0,0,0,0,0,0,0,0
ENSMUST00000030852,0,19,2,1,7,17,0,0,0
ENSMUST00000034004,0,0,0,2,0,0,0,0,0
ENSMUST00000051874,0,0,0,0,0,0,0,0,0
ENSMUST00000042726,8,11,6,2,12,0,85,3,0
ENSMUST00000159774,0,0,0,0,0,0,0,0,0
ENSMUST00000185340,0,0,0,0,0,0,0,0,0
ENSMUST00000030477,0,0,2,0,3,4,1,1,3
ENSMUST00000108653,0,0,0,0,0,0,0,0,0
ENSMUST00000092883,0,0,3,0,0,0,0,0,0
ENSMUST00000031091,4,7,8,1,2,6,3,1,9
ENSMUST00000047370,0,0,0,0,0,0,0,0,0
ENSMUST00000070152,0,0,0,0,0,0,0,0,0
ENSMUST00000170836,28,25,31,12,15,13,39,44,41
ENSMUST00000055770,149,167,135,77,113,138,72,56,46
ENSMUST00000055071,0,0,0,0,0,0,0,0,1
ENSMUST00000136906,0,0,0,0,0,0,0,0,0
ENSMUST00000055604,8,15,16,9,10,6,3,13,4
ENSMUST00000093938,0,0,0,0,0,0,0,0,0
ENSMUST00000032196,38,41,37,8,23,26,25,46,32
ENSMUST00000132773,0,3,4,0,0,0,0,0,0
ENSMUST00000208284,0,0,0,0,0,0,0,0,0
ENSMUST00000026665,9,13,13,2,7,10,2,0,5
ENSMUST00000032768,4,2,0,1,3,3,1,0,0
ENSMUST00000043870,11,1,7,2,8,1,0,6,8
ENSMUST00000044532,0,0,0,0,0,0,0,0,0
ENSMUST00000111332,0,0,0,0,0,0,0,0,0
ENSMUST00000029510,0,0,0,0,0,0,0,0,0
ENSMUST00000178142,0,0,0,0,0,0,0,0,0
ENSMUST00000020317,53,54,45,22,49,32,60,40,32
ENSMUST00000126390,0,0,0,0,0,0,0,0,0
ENSMUST00000055322,250,349,320,217,274,272,510,549,322
ENSMUST00000029970,2,3,0,0,0,1,0,0,0
ENSMUST00000168457,0,0,0,0,0,0,0,0,0
ENSMUST00000050026,0,0,0,0,0,0,0,0,0
ENSMUST00000035804,0,0,0,0,0,0,0,0,0
ENSMUST00000020579,4,7,8,12,13,8,6,9,8
ENSMUST00000032192,0,0,0,0,0,0,0,0,0
ENSMUST00000090680,18,13,24,8,10,14,31,7,5
ENSMUST00000036825,0,0,0,0,0,0,0,0,0
ENSMUST00000052740,0,4,0,0,0,0,0,0,0
ENSMUST00000067853,0,0,0,6,3,10,2,0,0
ENSMUST00000027012,0,1,0,0,0,0,0,0,0
ENSMUST00000064190,46,53,69,20,2,46,15,21,0
ENSMUST00000084589,0,0,0,0,0,0,0,0,0
ENSMUST00000129653,0,0,0,0,0,0,0,0,0
ENSMUST00000099739,1,1,0,1,0,0,0,3,0
ENSMUST00000178806,0,0,0,0,0,0,0,0,0
ENSMUST00000212864,4,6,0,0,0,4,0,0,0
ENSMUST00000005255,1,0,0,0,0,0,1,0,0
ENSMUST00000025755,0,0,0,0,0,0,0,0,0
ENSMUST00000226408,0,0,0,0,0,0,0,0,0
ENSMUST00000122374,0,0,0,0,0,0,0,0,0
ENSMUST00000031226,0,0,0,0,0,0,0,0,0
ENSMUST00000170349,0,0,0,0,0,0,0,0,0
ENSMUST00000163568,0,0,0,0,0,0,0,0,0
ENSMUST00000213778,0,0,0,0,0,0,0,0,0
ENSMUST00000094894,0,0,0,0,0,0,0,0,0
ENSMUST00000216538,0,0,0,0,0,0,0,0,0
ENSMUST00000067258,0,0,0,0,0,0,0,0,0
ENSMUST00000105051,0,0,0,0,0,0,0,0,0
ENSMUST00000112740,0,0,0,0,0,0,0,0,0
ENSMUST00000022890,2,8,7,1,0,0,5,0,0
ENSMUST00000120717,0,0,0,0,0,0,2,0,0
ENSMUST00000044423,10,10,2,2,1,3,1,5,0
ENSMUST00000062211,0,0,0,0,0,0,0,0,0
ENSMUST00000131108,4,1,1,0,0,1,2,1,11
ENSMUST00000028003,0,0,0,0,0,0,0,0,0
ENSMUST00000200097,0,0,0,0,0,0,0,0,0
ENSMUST00000118408,0,0,0,0,0,0,0,0,0
ENSMUST00000049411,23,20,18,41,25,24,0,33,0
ENSMUST00000020911,0,0,0,0,0,0,0,0,0
ENSMUST00000110395,0,0,0,0,0,0,0,0,0
ENSMUST00000233136,4,5,9,0,0,0,24,0,0
ENSMUST00000064571,7,8,12,7,10,4,1,9,14
ENSMUST00000001326,26,24,16,6,6,21,3,20,6
ENSMUST00000171737,11,15,22,1,0,2,1,18,0
ENSMUST00000109847,0,6,8,1,0,0,0,0,0
ENSMUST00000217435,0,0,0,0,0,0,0,0,0
ENSMUST00000027337,0,1,13,0,0,0,1,4,0
ENSMUST00000033621,0,0,0,0,0,0,0,0,0
ENSMUST00000026027,13,9,16,0,10,5,6,16,5
ENSMUST00000169415,0,0,0,0,0,0,0,0,0
ENSMUST00000170259,0,0,0,0,0,0,0,0,0
ENSMUST00000223345,0,0,0,0,0,0,0,0,0
ENSMUST00000035960,1,0,0,0,0,0,0,0,0
ENSMUST00000000299,0,0,0,0,0,2,0,0,0
ENSMUST00000054883,0,0,0,0,0,0,0,0,0
ENSMUST00000097718,0,0,0,0,0,0,0,0,1
ENSMUST00000055922,14,19,20,15,17,23,9,7,4
ENSMUST00000134545,0,0,0,0,0,0,0,0,0
ENSMUST00000079439,0,0,0,0,0,0,0,0,0
ENSMUST00000061047,12,10,8,10,12,11,6,9,5
ENSMUST00000036211,0,0,0,0,0,0,0,0,0
ENSMUST00000169439,0,0,0,0,0,0,0,0,0
ENSMUST00000029448,0,0,0,0,0,0,0,0,0
ENSMUST00000215569,0,0,0,0,0,0,0,0,0
ENSMUST00000101445,4,1,1,7,3,3,3,2,1
ENSMUST00000101801,0,0,0,0,0,0,0,0,0
ENSMUST00000160082,0,5,4,0,0,0,0,0,0
ENSMUST00000030578,18,28,25,8,10,15,14,15,2
ENSMUST00000026599,8,6,11,1,4,2,5,15,5
ENSMUST00000018821,0,0,0,0,0,0,0,0,0
ENSMUST00000026284,0,0,0,0,0,0,0,0,0
ENSMUST00000208494,0,0,0,0,0,0,0,0,0
ENSMUST00000191678,0,0,0,0,0,0,0,0,0
ENSMUST00000094782,6,12,6,2,7,3,13,6,1
ENSMUST00000093868,0,0,0,0,0,0,0,0,0
ENSMUST00000049005,3,0,1,0,0,0,0,0,0
ENSMUST00000208616,0,0,0,0,0,0,0,0,0
ENSMUST00000022163,0,1,4,1,1,0,5,1,1
ENSMUST00000114112,0,0,0,0,0,0,0,0,0
ENSMUST00000212824,0,0,0,0,0,0,0,0,0
ENSMUST00000224629,0,0,0,0,0,0,0,0,0
ENSMUST00000022725,0,0,0,0,0,0,0,0,0
ENSMUST00000101291,0,0,0,0,0,0,0,0,0
ENSMUST00000027151,0,0,0,0,0,0,0,0,0
ENSMUST00000121151,0,1,0,0,0,0,0,0,0
ENSMUST00000044278,0,0,0,0,0,0,0,0,0
ENSMUST00000061274,0,0,0,0,0,0,0,0,0
ENSMUST00000215773,0,0,0,0,0,0,0,0,0
ENSMUST00000097942,0,0,0,0,0,0,0,0,0
ENSMUST00000013294,0,4,1,0,0,1,0,0,0
ENSMUST00000213679,0,0,0,0,0,0,0,0,0
ENSMUST00000105835,0,0,0,0,0,0,0,0,0
ENSMUST00000033419,7,0,0,3,0,0,0,0,0
ENSMUST00000081438,0,0,0,0,0,0,0,0,0
ENSMUST00000033686,0,0,0,0,0,0,0,0,0
ENSMUST00000179568,0,0,0,0,0,0,0,0,0
ENSMUST00000000964,0,0,0,0,0,0,0,0,0
ENSMUST00000181333,1,2,0,0,3,0,0,0,0
ENSMUST00000002473,32,24,29,1,12,12,22,14,8
ENSMUST00000173723,0,0,0,0,0,0,0,0,0
ENSMUST00000208134,0,0,0,0,0,0,0,0,0
ENSMUST00000101640,0,0,0,0,0,0,0,0,0
ENSMUST00000100083,0,0,0,0,0,0,0,0,0
ENSMUST00000161527,0,0,0,0,0,0,0,0,0
ENSMUST00000113966,0,0,0,0,0,0,0,0,0
ENSMUST00000069614,0,0,0,0,0,0,0,0,0
ENSMUST00000023501,0,0,0,0,0,0,0,0,0
ENSMUST00000112830,7,8,6,7,4,4,2,0,16
ENSMUST00000065103,4,11,16,2,2,4,3,10,7
ENSMUST00000057773,2,2,1,0,0,1,0,3,0
ENSMUST00000033136,34,48,53,59,90,98,65,85,58
ENSMUST00000074058,6,6,5,3,1,4,23,3,8
ENSMUST00000217437,0,0,0,0,0,0,0,0,0
ENSMUST00000007259,0,0,0,0,0,0,0,0,0
ENSMUST00000048967,148,204,308,207,339,272,240,288,220
ENSMUST00000032912,0,0,0,0,0,0,0,0,0
ENSMUST00000188422,0,0,0,0,0,0,0,0,0
ENSMUST00000092371,0,0,0,0,0,0,0,0,0
ENSMUST00000050106,0,0,0,0,0,0,0,0,0
ENSMUST00000042734,4,0,1,1,0,0,4,0,0
ENSMUST00000169591,0,0,0,0,0,0,0,0,0
ENSMUST00000164663,0,0,0,0,0,0,0,0,0
ENSMUST00000213840,0,0,0,0,0,0,0,0,0
ENSMUST00000015049,8,6,8,1,1,2,5,10,5
ENSMUST00000213801,0,0,0,0,0,0,0,0,0
ENSMUST00000184973,0,0,0,0,0,0,0,0,0
ENSMUST00000164721,0,0,0,0,0,0,0,0,0
ENSMUST00000159417,0,0,0,0,0,0,0,0,0
ENSMUST00000032818,0,0,0,0,0,0,0,0,0
ENSMUST00000024705,0,0,0,0,0,0,0,0,0
ENSMUST00000156816,0,0,0,0,0,0,0,0,0
ENSMUST00000169805,0,0,0,0,0,0,0,0,0
ENSMUST00000064347,39,61,50,7,2,7,27,22,15
ENSMUST00000095529,0,0,0,0,0,0,0,0,0
ENSMUST00000165117,0,0,0,0,0,0,0,0,0
ENSMUST00000185036,1,2,0,0,2,1,1,0,0
ENSMUST00000114765,0,0,0,0,0,0,0,0,0
ENSMUST00000041416,99,143,126,8,14,4,7,3,1
ENSMUST00000171533,0,0,0,0,0,0,0,0,0
ENSMUST00000078588,0,0,0,0,0,0,0,0,0
ENSMUST00000189888,0,0,0,0,0,0,0,0,0
ENSMUST00000084207,0,0,1,0,0,0,0,0,0
ENSMUST00000030051,133,166,172,70,100,95,114,162,134
ENSMUST00000212489,0,0,0,0,0,0,0,0,0
ENSMUST00000033800,0,0,0,0,0,0,0,0,0
ENSMUST00000112541,0,0,0,0,0,0,0,0,0
ENSMUST00000161178,0,0,0,0,0,0,0,0,0
ENSMUST00000086399,7,5,12,7,2,1,2,5,4
ENSMUST00000067984,0,0,0,0,0,0,0,0,0
ENSMUST00000170922,0,0,0,0,0,0,0,0,0
ENSMUST00000002379,0,0,0,0,0,0,0,0,0
ENSMUST00000034131,197,234,276,110,182,158,182,278,154
ENSMUST00000097649,50,59,60,55,63,55,24,59,27
ENSMUST00000015277,36,69,49,34,27,32,28,20,17
ENSMUST00000080514,0,0,0,0,0,0,0,0,0
ENSMUST00000104928,0,0,0,0,0,0,0,0,0
ENSMUST00000057324,0,0,0,0,0,0,0,0,0
ENSMUST00000067120,0,0,0,0,0,0,0,0,0
ENSMUST00000119413,0,0,0,0,1,0,0,0,0
ENSMUST00000120642,0,0,0,0,0,0,0,0,0
ENSMUST00000037877,0,0,0,0,0,0,0,0,0
ENSMUST00000174462,0,0,0,0,1,0,0,2,0
ENSMUST00000022992,25,5,22,6,1,2,2,15,1
ENSMUST00000109824,0,2,0,0,0,0,0,0,0
ENSMUST00000151120,0,2,2,0,0,1,1,0,0
ENSMUST00000028465,0,0,0,0,0,0,0,0,0
ENSMUST00000053288,2,9,6,0,0,7,0,2,0
ENSMUST00000216853,0,0,0,0,0,0,0,0,0
ENSMUST00000217228,0,0,0,0,0,0,0,0,0
ENSMUST00000095797,11,25,25,10,5,6,2,5,0
ENSMUST00000114459,0,0,0,0,0,0,0,0,0
ENSMUST00000117102,0,0,0,0,0,0,0,0,0
ENSMUST00000109856,0,0,0,0,0,0,0,0,0
ENSMUST00000127195,0,0,0,0,0,0,0,0,0
ENSMUST00000033519,9,9,10,2,9,0,19,12,8
ENSMUST00000101426,0,0,0,0,0,0,0,0,0
ENSMUST00000055316,9,15,17,3,5,6,7,4,8
ENSMUST00000171183,0,1,0,2,0,0,1,0,5
ENSMUST00000224651,54,75,58,24,38,27,17,27,15
ENSMUST00000023057,0,0,0,0,0,0,0,0,0
ENSMUST00000098666,0,0,0,0,0,0,0,0,0
ENSMUST00000177979,0,0,0,0,0,0,0,0,0
ENSMUST00000215712,0,0,0,0,0,0,0,0,0
ENSMUST00000033008,11,18,16,5,7,6,8,28,0
ENSMUST00000111711,0,0,0,0,0,0,0,0,0
ENSMUST00000020315,89,113,108,76,90,110,78,137,94
ENSMUST00000102762,0,0,0,0,0,0,0,0,0
ENSMUST00000007130,0,0,0,0,0,0,0,0,0
ENSMUST00000025686,0,0,0,0,0,0,0,0,0
ENSMUST00000042228,0,0,0,0,0,0,0,0,0
ENSMUST00000054175,0,0,0,0,0,0,0,0,0
ENSMUST00000078307,0,0,0,0,0,0,0,0,0
ENSMUST00000034349,2,43,84,1,1,2,69,30,28
ENSMUST00000050104,508,553,612,140,218,238,393,409,277
ENSMUST00000165838,0,0,0,0,0,0,0,0,0
ENSMUST00000093292,0,0,0,0,0,0,0,0,0
ENSMUST00000179874,0,0,0,0,0,0,0,0,0
ENSMUST00000171784,0,0,0,0,0,0,0,0,0
ENSMUST00000066921,0,0,0,0,0,0,0,0,0
ENSMUST00000219826,0,0,0,0,0,0,0,0,0
ENSMUST00000108793,0,0,0,0,0,0,0,0,0
ENSMUST00000114431,0,0,0,0,0,0,0,0,0
ENSMUST00000094769,0,0,0,0,0,0,0,0,0
ENSMUST00000191675,0,0,0,0,0,0,0,0,0
ENSMUST00000043577,0,0,0,0,0,0,0,0,0
ENSMUST00000098897,0,0,0,0,0,0,0,0,0
ENSMUST00000216633,0,0,0,0,0,0,0,0,0
ENSMUST00000098924,0,0,1,0,1,0,0,0,0
ENSMUST00000056312,0,0,0,0,0,0,0,0,0
ENSMUST00000112885,1,24,0,0,2,0,11,0,0
ENSMUST00000021043,0,0,0,0,0,0,0,0,0
ENSMUST00000038661,0,0,0,0,0,0,0,0,0
ENSMUST00000079793,0,0,0,0,0,0,0,0,0
ENSMUST00000023583,0,0,0,0,0,0,0,0,0
ENSMUST00000031170,9,7,14,17,9,17,11,9,16
ENSMUST00000165454,0,0,0,0,0,0,0,0,0
ENSMUST00000213668,0,0,0,0,0,0,0,0,0
ENSMUST00000059458,13,25,1,11,1,1,0,2,16
ENSMUST00000032419,7,12,7,4,5,9,4,12,0
ENSMUST00000029158,0,0,1,0,0,0,0,0,0
ENSMUST00000017458,0,0,0,0,0,0,0,8,1
ENSMUST00000179619,0,0,0,0,0,0,0,0,0
ENSMUST00000206389,0,0,1,0,0,0,0,0,0
ENSMUST00000075558,98,106,135,31,57,45,74,76,49
ENSMUST00000108952,3,0,1,3,2,0,0,0,0
ENSMUST00000088311,0,0,0,0,0,0,0,0,0
ENSMUST00000061074,0,0,0,0,0,0,0,0,0
ENSMUST00000107722,0,0,0,2,0,2,0,1,0
ENSMUST00000216580,0,0,0,0,0,0,0,0,0
ENSMUST00000233255,0,0,0,0,0,0,0,0,0
ENSMUST00000109947,0,0,0,0,0,0,0,0,0
ENSMUST00000216396,0,0,0,0,0,0,0,0,0
ENSMUST00000100864,6,1,2,3,0,0,8,6,3
ENSMUST00000218329,0,0,0,0,0,0,0,0,0
ENSMUST00000047786,0,0,0,0,0,0,0,0,0
ENSMUST00000171031,0,0,0,0,0,0,0,0,0
ENSMUST00000109418,29,33,37,5,5,9,31,28,26
ENSMUST00000102801,0,0,0,0,0,0,0,0,0
ENSMUST00000002846,0,0,0,0,0,0,0,0,0
ENSMUST00000036206,2,6,3,0,0,1,0,0,0
ENSMUST00000238599,0,0,0,0,0,0,0,0,0
ENSMUST00000120490,0,0,0,0,0,0,0,0,0
ENSMUST00000078521,0,0,0,0,0,0,0,0,0
ENSMUST00000081933,0,2,2,1,0,2,0,0,1
ENSMUST00000020756,27,32,29,13,18,37,32,10,23
ENSMUST00000235234,0,0,0,0,0,2,0,5,0
ENSMUST00000100635,32,25,33,8,4,8,8,10,1
ENSMUST00000002121,97,125,146,15,28,97,69,33,78
ENSMUST00000094917,0,0,3,0,1,0,0,0,0
ENSMUST00000163854,0,0,2,0,0,0,0,0,0
ENSMUST00000042360,0,0,0,0,0,0,0,0,0
ENSMUST00000093299,3,0,10,1,1,0,1,1,2
ENSMUST00000098470,0,0,0,0,0,0,0,0,0
ENSMUST00000081769,0,0,0,0,0,0,0,0,0
ENSMUST00000160211,0,0,0,0,0,0,0,0,0
ENSMUST00000066987,77,34,94,71,109,99,102,177,51
ENSMUST00000217481,0,0,0,0,0,0,0,0,0
ENSMUST00000102849,0,15,0,9,0,0,0,0,0
ENSMUST00000164756,31,41,37,11,19,11,11,14,13
ENSMUST00000000254,0,0,0,0,0,0,0,0,0
ENSMUST00000092973,0,0,0,0,0,0,0,0,0
ENSMUST00000099376,64,62,71,17,37,0,0,0,0
ENSMUST00000090475,1,3,0,0,0,0,0,0,0
ENSMUST00000121802,0,0,0,0,0,0,0,0,0
ENSMUST00000049138,25,15,18,7,8,10,13,23,13
ENSMUST00000036439,206,208,213,178,233,296,183,218,152
ENSMUST00000001569,0,0,0,0,0,0,0,0,0
ENSMUST00000035208,0,0,0,0,0,0,0,0,0
ENSMUST00000027414,0,0,0,0,0,7,3,5,0
ENSMUST00000072634,13,0,0,0,0,0,0,0,0
ENSMUST00000074700,0,0,0,0,0,0,0,0,0
ENSMUST00000033241,0,0,0,0,0,0,0,0,0
ENSMUST00000029929,0,0,0,0,0,0,0,0,0
ENSMUST00000123791,0,0,0,0,0,0,0,0,0
ENSMUST00000020350,0,0,0,0,0,0,0,0,0
ENSMUST00000217308,0,0,0,0,0,0,0,0,0
ENSMUST00000019882,0,4,0,0,0,3,2,1,0
ENSMUST00000027121,0,0,0,0,0,0,0,0,0
ENSMUST00000131615,0,0,0,0,0,0,0,0,0
ENSMUST00000053880,0,0,0,0,0,0,0,0,0
ENSMUST00000039782,7,10,8,4,3,4,7,7,2
ENSMUST00000023441,0,0,0,0,0,0,0,0,0
ENSMUST00000172997,0,0,0,0,0,0,0,0,0
ENSMUST00000098900,0,0,0,0,0,0,0,0,0
ENSMUST00000101237,0,0,0,0,0,0,0,0,0
ENSMUST00000054030,0,0,0,0,0,0,0,0,0
ENSMUST00000163799,0,0,0,0,0,0,0,0,0
ENSMUST00000126214,0,0,0,0,0,0,0,0,0
ENSMUST00000057659,0,0,0,0,0,0,0,0,0
ENSMUST00000052832,0,1,0,0,1,2,2,0,0
ENSMUST00000039568,0,0,0,0,0,0,0,0,0
ENSMUST00000054230,1,0,0,0,0,0,0,0,0
ENSMUST00000154153,0,0,0,0,0,0,0,0,0
ENSMUST00000238500,0,0,0,0,0,0,0,0,0
ENSMUST00000071308,0,0,0,0,0,0,0,0,0
ENSMUST00000022119,0,0,0,0,0,0,0,0,0
ENSMUST00000062306,0,0,0,0,0,0,0,0,0
ENSMUST00000220185,0,0,0,0,0,0,0,0,0
ENSMUST00000074171,0,0,0,0,0,0,0,0,0
ENSMUST00000094819,0,0,0,0,0,0,0,0,0
ENSMUST00000073879,0,0,0,0,0,0,0,0,0
ENSMUST00000020938,7,4,12,1,5,0,6,0,1
ENSMUST00000076470,0,0,0,0,0,0,0,0,0
ENSMUST00000025856,38,115,98,15,16,63,21,23,10
ENSMUST00000025402,0,0,0,0,0,0,0,0,0
ENSMUST00000086310,0,0,0,0,0,0,0,0,0
ENSMUST00000114030,0,0,0,0,0,0,0,0,0
ENSMUST00000154294,0,0,0,0,0,0,0,0,0
ENSMUST00000081998,0,0,0,0,0,0,0,0,0
ENSMUST00000019076,0,0,0,3,7,0,0,0,0
ENSMUST00000135343,0,0,0,0,0,0,0,0,0
ENSMUST00000149011,0,0,0,0,0,0,0,0,0
ENSMUST00000079548,0,0,0,0,0,0,0,0,0
ENSMUST00000028948,2,0,1,1,1,1,0,0,9
ENSMUST00000060738,61,7,10,23,49,43,3,2,1
ENSMUST00000169684,0,0,0,0,0,0,0,0,0
ENSMUST00000002053,0,0,0,0,0,0,0,0,0
ENSMUST00000110594,0,0,0,0,0,0,0,0,0
ENSMUST00000093342,0,0,0,0,0,0,0,0,0
ENSMUST00000034749,0,0,0,0,0,0,0,0,0
ENSMUST00000036991,0,0,0,1,0,0,0,0,0
ENSMUST00000114869,0,0,0,0,0,0,0,0,0
ENSMUST00000110255,0,0,0,0,0,0,0,0,0
ENSMUST00000030465,0,0,0,0,0,0,0,0,0
ENSMUST00000061699,0,0,0,0,0,0,0,0,0
ENSMUST00000176149,0,0,0,0,0,0,0,0,0
ENSMUST00000121096,0,0,0,0,0,0,0,0,0
ENSMUST00000018522,1,0,0,0,0,0,0,1,0
ENSMUST00000104983,0,2,0,0,1,1,0,0,0
ENSMUST00000117363,0,0,0,0,0,0,0,0,0
ENSMUST00000048557,0,0,0,0,0,0,0,0,0
ENSMUST00000103075,25,36,17,14,5,12,13,0,5
ENSMUST00000043150,96,114,128,15,33,25,22,20,9
ENSMUST00000050207,6,4,8,4,0,1,2,0,5
ENSMUST00000069443,0,0,0,0,0,0,0,0,0
ENSMUST00000053926,0,0,0,0,0,0,0,0,0
ENSMUST00000038388,0,0,0,1,1,1,0,0,1
ENSMUST00000030784,0,1,0,0,1,0,2,0,0
ENSMUST00000075312,13,13,16,0,2,0,0,0,1
ENSMUST00000099425,0,0,0,0,0,0,0,0,0
ENSMUST00000113706,0,0,0,0,0,0,0,0,0
ENSMUST00000052437,0,0,0,0,0,0,0,0,0
ENSMUST00000101506,0,0,0,0,0,0,0,0,0
ENSMUST00000178224,0,0,0,0,0,0,0,0,0
ENSMUST00000213732,0,0,0,0,0,0,0,0,0
ENSMUST00000051495,0,0,0,0,0,0,0,0,0
ENSMUST00000039059,0,0,0,0,0,0,0,0,1
ENSMUST00000045994,0,0,0,0,0,2,3,4,1
ENSMUST00000062113,0,0,0,0,0,0,0,0,0
ENSMUST00000088644,0,0,0,1,0,0,0,0,0
ENSMUST00000178466,0,0,0,0,0,0,0,0,0
ENSMUST00000192650,0,0,0,0,0,0,0,0,0
ENSMUST00000089257,0,0,0,0,0,0,0,0,0
ENSMUST00000042227,9,0,0,0,0,0,0,0,0
ENSMUST00000057236,0,0,0,0,0,0,0,0,0
ENSMUST00000113146,0,0,0,0,0,0,0,0,0
ENSMUST00000074829,0,0,0,0,0,0,0,0,0
ENSMUST00000032398,10,35,28,6,13,5,2,0,5
ENSMUST00000035026,0,0,0,0,0,0,0,0,0
ENSMUST00000077988,0,0,0,0,0,0,0,0,0
ENSMUST00000149359,0,0,0,0,0,0,0,0,0
ENSMUST00000062519,0,1,0,0,0,0,0,0,0
ENSMUST00000003876,0,0,0,0,0,0,0,0,0
ENSMUST00000051117,0,0,0,0,0,0,19,14,17
ENSMUST00000114562,0,0,0,0,0,0,0,0,0
ENSMUST00000194690,0,0,0,0,0,0,0,0,0
ENSMUST00000028986,0,0,0,0,0,0,0,0,0
ENSMUST00000049166,0,1,3,0,0,0,0,4,0
ENSMUST00000204751,0,3,0,0,0,0,0,0,0
ENSMUST00000215303,0,0,0,0,0,0,0,0,0
ENSMUST00000034803,24,28,21,13,16,21,10,8,11
ENSMUST00000006444,0,21,20,15,28,10,13,25,14
ENSMUST00000075724,0,0,0,0,0,0,0,0,0
ENSMUST00000002198,25,47,58,38,36,36,9,7,12
ENSMUST00000227176,0,0,0,0,0,0,0,0,0
ENSMUST00000182151,0,0,0,0,0,0,0,0,0
ENSMUST00000106803,0,0,0,0,0,0,0,0,0
ENSMUST00000037541,0,0,0,0,0,0,0,0,0
ENSMUST00000039110,0,0,0,0,0,0,0,1,0
ENSMUST00000214192,0,0,0,0,0,0,0,0,0
ENSMUST00000000260,0,0,8,2,1,0,0,1,0
ENSMUST00000089925,0,0,0,0,0,0,0,0,0
ENSMUST00000098956,0,0,0,0,0,0,2,0,0
ENSMUST00000118525,0,0,0,0,0,0,0,0,0
ENSMUST00000101137,0,0,0,0,0,0,0,0,0
ENSMUST00000110262,1,0,0,0,0,0,0,0,0
ENSMUST00000067375,0,0,0,0,0,0,0,0,0
ENSMUST00000164042,0,0,0,0,0,0,0,0,0
ENSMUST00000037313,0,0,0,0,0,0,0,0,0
ENSMUST00000095925,0,1,0,0,0,0,0,2,0
ENSMUST00000024944,0,3,13,0,0,0,0,0,0
ENSMUST00000061101,0,7,4,0,0,0,3,3,0
ENSMUST00000037210,0,1,13,0,1,3,0,0,0
