,RD0175,RD0176,RD0177,RD0178,RD0179,RD0180,RD0184,RD0185,RD0186
ENSMUST00000005714,17,24,20,6,9,13,8,11,4
ENSMUST00000065286,0,0,0,0,0,0,0,0,0
ENSMUST00000004829,0,0,0,0,0,0,0,0,0
ENSMUST00000112932,0,1,1,0,0,0,0,0,2
ENSMUST00000183125,0,0,0,0,0,0,0,0,0
ENSMUST00000047383,0,0,0,0,0,0,0,0,0
ENSMUST00000029968,0,22,0,0,0,0,13,0,0
ENSMUST00000038692,0,0,0,0,0,0,0,0,0
ENSMUST00000032413,4,4,4,0,2,3,0,0,2
ENSMUST00000179443,0,0,0,0,0,0,0,0,0
ENSMUST00000024993,0,0,0,0,0,0,0,0,0
ENSMUST00000109645,0,0,0,0,0,0,0,0,0
ENSMUST00000238765,0,0,0,0,0,0,0,0,0
ENSMUST00000034041,0,4,0,0,0,0,0,0,0
ENSMUST00000164139,0,0,0,0,0,0,0,0,0
ENSMUST00000228493,0,0,0,0,0,0,0,0,0
ENSMUST00000021527,0,0,0,0,0,0,0,0,0
ENSMUST00000002625,0,2,0,0,2,1,0,0,0
ENSMUST00000070742,0,0,0,0,0,0,0,0,0
ENSMUST00000143842,0,1,0,1,0,0,2,24,1
ENSMUST00000114723,0,0,0,0,0,0,0,0,0
ENSMUST00000042246,0,0,0,0,0,0,0,0,0
ENSMUST00000044616,0,0,0,0,0,0,0,0,0
ENSMUST00000018710,0,0,0,0,0,0,0,0,0
ENSMUST00000114354,0,0,0,0,0,0,0,0,0
ENSMUST00000111566,2,0,1,0,0,0,0,0,0
ENSMUST00000233415,0,0,0,0,0,0,0,0,0
ENSMUST00000109648,0,0,0,0,0,0,0,0,0
ENSMUST00000032073,0,0,0,0,0,0,0,0,0
ENSMUST00000008579,0,0,0,3,0,1,0,0,0
ENSMUST00000025183,16,12,15,9,12,6,3,8,9
ENSMUST00000037025,9,0,2,2,0,1,4,7,1
ENSMUST00000003100,0,0,0,0,0,0,0,0,0
ENSMUST00000030980,7,12,7,5,11,9,0,1,0
ENSMUST00000208418,0,0,0,0,0,0,0,0,0
ENSMUST00000107094,562,640,709,406,613,584,651,789,508
ENSMUST00000094215,1,3,2,1,3,0,2,2,1
ENSMUST00000040241,0,1,0,0,0,0,0,0,0
ENSMUST00000043415,0,0,0,0,0,0,0,0,0
ENSMUST00000191203,0,0,0,0,0,0,0,0,0
ENSMUST00000115193,0,0,0,0,0,0,0,0,0
ENSMUST00000019913,0,1,1,0,0,0,0,1,0
ENSMUST00000151799,0,0,0,0,0,0,0,0,0
ENSMUST00000065353,3,0,0,0,0,0,0,0,0
ENSMUST00000067246,0,3,1,5,5,0,0,0,0
ENSMUST00000001812,9,13,12,0,4,5,14,11,0
ENSMUST00000021296,4,3,13,6,6,4,3,9,2
ENSMUST00000193809,69,64,84,20,31,38,43,70,40
ENSMUST00000099442,0,0,0,0,0,0,0,0,0
ENSMUST00000021039,0,0,0,0,0,0,0,0,0
ENSMUST00000065398,72,57,75,19,81,54,22,16,22
ENSMUST00000108361,0,0,0,0,0,0,0,0,0
ENSMUST00000035988,64,90,28,74,87,117,90,145,114
ENSMUST00000067538,33,26,46,1,5,14,0,1,3
ENSMUST00000113532,0,0,0,0,0,0,0,0,0
ENSMUST00000111137,0,0,0,0,0,0,0,0,0
ENSMUST00000024736,2,10,12,1,0,4,0,5,2
ENSMUST00000226198,0,0,0,0,0,0,0,0,0
ENSMUST00000214573,0,0,0,0,0,0,0,0,0
ENSMUST00000019633,0,0,0,0,0,0,0,0,0
ENSMUST00000215893,0,0,0,0,0,0,0,0,0
ENSMUST00000142029,17,22,13,0,6,4,8,15,1
ENSMUST00000027931,1,2,1,0,1,0,0,1,0
ENSMUST00000001700,0,0,0,0,0,0,0,0,0
ENSMUST00000093801,10,12,13,4,1,1,3,4,1
ENSMUST00000000388,10,1,1,3,4,1,0,10,3
ENSMUST00000034214,163,53,232,6,20,19,76,15,52
ENSMUST00000228097,0,0,0,0,0,0,0,0,0
ENSMUST00000025897,0,0,0,0,0,0,0,0,0
ENSMUST00000186619,0,1,0,0,1,3,0,3,0
ENSMUST00000173867,1,6,9,4,5,5,0,1,1
ENSMUST00000235164,0,0,0,0,0,0,0,0,0
ENSMUST00000099449,0,0,0,0,0,0,0,0,0
ENSMUST00000053729,5,0,4,0,2,4,0,0,0
ENSMUST00000019572,0,0,0,0,2,0,0,0,0
ENSMUST00000215683,0,0,2,0,0,1,1,0,0
ENSMUST00000136313,0,0,0,0,0,0,0,0,0
ENSMUST00000223490,9,6,3,0,1,1,0,3,1
ENSMUST00000034206,3,5,9,1,2,2,1,3,0
ENSMUST00000027062,0,0,0,0,0,0,0,0,0
ENSMUST00000114908,0,0,0,0,0,0,0,0,0
ENSMUST00000163172,0,0,0,0,0,0,0,0,0
ENSMUST00000127748,0,0,0,0,0,0,0,0,0
ENSMUST00000017460,0,0,0,0,0,0,0,0,0
ENSMUST00000086978,0,0,0,0,0,0,0,0,0
ENSMUST00000113043,0,0,0,0,0,0,0,0,0
ENSMUST00000032071,4,2,7,4,8,5,4,4,1
ENSMUST00000032561,49,67,55,31,49,68,28,37,24
ENSMUST00000169485,33,29,32,16,15,21,20,19,5
ENSMUST00000006963,0,0,0,0,0,0,0,0,0
ENSMUST00000215541,0,0,0,0,0,0,0,0,0
ENSMUST00000061327,0,0,3,0,0,0,0,0,2
ENSMUST00000001254,0,0,0,0,0,0,0,0,0
ENSMUST00000180038,0,0,0,0,0,0,0,0,0
ENSMUST00000000642,16,25,17,24,35,33,20,22,31
ENSMUST00000053094,0,0,0,0,0,0,0,0,0
ENSMUST00000049149,144,142,169,195,257,231,154,174,159
ENSMUST00000074943,0,0,0,0,0,0,0,0,0
ENSMUST00000033161,0,0,0,0,0,0,0,0,0
ENSMUST00000043382,0,0,0,0,1,0,0,0,0
ENSMUST00000236255,1,0,0,0,0,1,0,0,0
ENSMUST00000027655,2,2,0,1,2,8,5,0,1
ENSMUST00000067058,0,1,0,0,0,1,0,0,0
ENSMUST00000212992,0,0,0,0,0,0,0,0,0
ENSMUST00000003621,17,0,0,16,0,0,0,13,0
ENSMUST00000034866,6,10,66,13,3,67,9,2,6
